jean_size, 0-1, 0-1, 0-1, 0-1, 1-2, 1-2, 1-2, 1-2, 2-3, 2-3, 2-3, 2-3, 3-4, 3-4, 3-4, 3-4, 4-5, 4-5, 4-5, 4-5, 5-6, 5-6, 5-6, 5-6, 6-7, 6-7, 6-7, 6-7, 7-8, 7-8, 7-8, 7-8, 8-9, 8-9, 8-9, 8-9, 9-10, 9-10, 9-10, 9-10, 10-11, 10-11, 10-11, 10-11, 11-12, 11-12, 11-12, 11-12, 12-13, 12-13, 12-13, 12-13, 13-14, 13-14, 13-14, 13-14, 14-15, 14-15, 14-15, 14-15, 15-16, 15-16, 15-16, 15-16, 16-17, 16-17, 16-17, 16-17, 17-18, 17-18, 17-18, 17-18
36,X-Small,Small,Small,Small,X-Small,Small,Small,Small,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,Large,Large,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing
36.5,X-Small,Small,Small,Small,X-Small,Small,Small,Small,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,Large,Large,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing
37,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing
37.5,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing
38,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing
38.5,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing
39,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small ,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing
39.5,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small ,Medium,Medium,Medium,Small ,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing
40,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large
40.5,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small ,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large
41,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large
41.5,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,X-Large,X-Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large
42,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,X-Large,X-Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large
42.5,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,X-Large,X-Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large
43,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Small,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,X-Large,X-Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large
43.5,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,X-Large,X-Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large
44,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,X-Large,X-Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large
44.5,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,X-Large,X-Large,Large,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large
45,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,X-Large,X-Large,Large,Large,Large,Large,Medium,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large
45.5,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,Large,Large,Medium,Large,X-Large,X-Large,Large,Large,Large,Large,Medium,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large
46,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,Large,X-Large,X-Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large
46.5,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,Large,X-Large,X-Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large
47,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,Large,X-Large,X-Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large
47.5,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,Large,X-Large,X-Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large
48,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,Large,X-Large,X-Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large
48.5,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,Large,X-Large,X-Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large
49,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Call for Sizing,Medium,Large,Large,Large,Medium,Large,Large,Large,Large,Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,Large,Large,Large,X-Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large,X-Large
